lat,lon,alt,yaw,image
41.101485,29.0232718,15.621,258,raw6.jpg
41.1014852,29.0232719,15.883,258,raw7.jpg
41.1014853,29.0232719,16.247,258,raw8.jpg
41.1014853,29.023272,16.561,258,raw9.jpg
41.1014852,29.023272,16.968,258,raw10.jpg
41.1014851,29.023272,17.294,258,raw11.jpg
41.1014852,29.023272,17.625,258,raw12.jpg
41.1014852,29.023272,18.0,258,raw13.jpg
41.1014852,29.0232721,18.785,258,raw14.jpg
41.1014852,29.0232721,19.023,258,raw15.jpg
41.1014853,29.023272,19.399,258,raw16.jpg
41.1014853,29.0232719,20.061,258,raw17.jpg
41.1014852,29.0232721,20.154,258,raw18.jpg
41.1014855,29.023274,20.155,258,raw19.jpg
41.1014866,29.023283,20.16,258,raw20.jpg
41.1014876,29.0232951,20.146,258,raw21.jpg
41.1014876,29.0232962,20.162,258,raw22.jpg
41.1014887,29.0232967,20.15,258,raw23.jpg
41.1015002,29.0232954,20.168,258,raw24.jpg
41.101515,29.0232922,20.155,258,raw25.jpg
41.1015161,29.0232919,20.152,258,raw26.jpg
41.1015163,29.023292,20.13,258,raw27.jpg
41.1015164,29.023292,20.145,258,raw28.jpg
41.1015216,29.0232901,20.191,258,raw29.jpg
41.1015273,29.0232836,20.173,258,raw30.jpg
41.1015309,29.0232704,20.181,258,raw31.jpg
41.1015334,29.0232542,20.202,258,raw32.jpg
41.1015353,29.0232365,20.165,258,raw33.jpg
41.1015356,29.0232197,20.118,258,raw34.jpg
41.1015338,29.023205,20.141,258,raw35.jpg
41.1015317,29.023187,20.145,258,raw36.jpg
41.1015294,29.0231733,20.143,258,raw37.jpg
41.1015291,29.0231722,20.126,258,raw38.jpg
41.1015291,29.0231725,20.144,258,raw39.jpg
41.1015283,29.0231671,20.156,258,raw40.jpg
41.1015264,29.0231514,20.162,258,raw41.jpg
41.1015225,29.0231354,20.188,258,raw42.jpg
41.1015183,29.0231263,20.201,258,raw43.jpg
41.1015187,29.0231286,20.173,258,raw44.jpg
41.1015173,29.0231347,20.187,258,raw45.jpg
41.1015132,29.0231369,20.162,258,raw46.jpg
41.1015133,29.023137,20.116,258,raw47.jpg
41.1015117,29.0231371,20.158,258,raw48.jpg
41.1015009,29.0231391,20.165,258,raw49.jpg
41.1014886,29.0231433,20.171,258,raw50.jpg
41.1014819,29.0231548,20.166,258,raw51.jpg
41.1014854,29.0231747,20.174,258,raw52.jpg
41.1014918,29.0231939,20.158,258,raw53.jpg
41.1014917,29.0231963,20.166,258,raw54.jpg
41.1014918,29.0231981,20.171,258,raw55.jpg
41.1014935,29.023212,20.167,258,raw56.jpg
41.1015,29.0232339,20.18,258,raw57.jpg
41.1015013,29.0232415,20.17,258,raw58.jpg
41.1015015,29.023242,20.159,258,raw59.jpg
41.1015012,29.0232414,20.16,258,raw60.jpg
41.1015012,29.0232412,20.149,258,raw61.jpg
41.1014968,29.0232421,20.181,258,raw62.jpg
41.101489,29.0232434,20.093,258,raw63.jpg
41.1014844,29.0232436,19.924,258,raw64.jpg
41.1014807,29.023243,19.495,258,raw65.jpg
41.1014761,29.0232374,18.437,258,raw66.jpg
41.1014718,29.0232303,17.322,258,raw67.jpg
41.1014672,29.0232226,16.118,258,raw68.jpg
41.1014807,29.023243,14.695,258,raw69.jpg
41.1014587,29.0231999,13.25,258,raw70.jpg
41.1014672,29.0232226,11.816,258,raw71.jpg
41.1014576,29.0231938,10.397,258,raw72.jpg
41.1014761,29.0232374,8.981,258,raw73.jpg
41.1014574,29.0231888,7.725,258,raw74.jpg
41.1014569,29.0231851,6.584,258,raw75.jpg
41.1014564,29.0231835,5.491,258,raw76.jpg
41.1014566,29.0231838,0.174,258,raw77.jpg
41.1014566,29.0231838,-0.019,258,raw78.jpg
41.1014566,29.0231838,-0.158,258,raw79.jpg
41.1014566,29.0231838,-0.278,258,raw80.jpg
41.1014566,29.0231838,-0.285,259,raw81.jpg
41.1014565,29.0231839,-0.276,259,raw82.jpg
41.1014565,29.0231839,-0.267,259,raw83.jpg
41.1014566,29.023184,-0.253,259,raw84.jpg
41.1014564,29.0231827,0.334,246,raw85.jpg
41.1014558,29.0231819,0.133,247,raw86.jpg
41.1014559,29.0231825,-0.12,247,raw87.jpg
41.101456,29.0231828,-0.197,248,raw88.jpg
41.1014563,29.0231832,-0.231,249,raw89.jpg
41.1014565,29.0231831,-0.2,249,raw90.jpg
41.1014564,29.0231831,-0.233,249,raw91.jpg
41.1014561,29.0231831,-0.015,250,raw92.jpg
41.1014533,29.0231734,0.409,234,raw93.jpg
41.1014457,29.0231602,0.514,195,raw94.jpg
41.1014398,29.0231475,0.549,164,raw95.jpg
41.1014382,29.0231317,0.565,169,raw96.jpg
41.1014351,29.0231103,0.568,178,raw97.jpg
41.101431,29.0230887,0.514,177,raw98.jpg
41.1014275,29.0230653,0.515,189,raw99.jpg
41.1014241,29.0230412,0.519,186,raw100.jpg
